cümle,entity,label,sentiment
"beklediğimden iyi geldi, kaliteli duruyor, verdiğiniz para boşa gitmiyor, rengi fotoğraftaki ile birebir aynı. Yumuşacık. Diğer renklerden de almayı düşünüyorum.. tavsiye",tokalar,Kalite,"""pozitif"""
Çok beğendim sadece hafif kokusu vardı havalandırınca geçti,çanta,Kokusu,"""pozitif"""
efsaneeee çok güzel,çanta,Genel,"""pozitif"""
Yani bir çanta bu kadar kaliteli olamazdı çok ama çok güzel kesinlikle tavsiye ederim,çanta,Kalite,"""pozitif"""
Ben seyahatlerde kullanmak için almıştım tam istediğim büyüklükte içinden küçük olanı da çıktı gayet kaliteli ve güzel duruyor sap kısmı da omuzda taşımaya elverişli ben çok beğendim satıcı da çok hızlı kargolayıp gönderdi. sipariş verdiğimin ertesi günü elimde oldu. Kargo ambalajının içinde ayrıca poşetlenmişti. Kahverengisini de almayı düşünüyor,çanta,"Boyut, Kalite","""pozitif"""
İşten spora gideceğim zaman yanımda sportif bi çanta taşımak istemedim içinde bir çok şey sığıyor çok büyük durmasından korkuyordum oda olmadı ben çok beğendim gerçekten beklentim bu değildi ama çok iyimiş. Sadece ilk geldiğinde fazla plastik kokusu vardı 3 5 güne geçti çok kullanışlı teşekkür ederim 🤞🏻,çanta,"Boyut, Kokusu","""pozitif"""
Annem için hediye aldım çok beğendi,çanta,Genel,"""pozitif"""
Biraz kötü kokuyor ama o da zamanla geçer diye düşünüyorum yumuşaklığı ve boyutu çok güzel arkadaşımdan görüp almıştım çok ta memnunum,çanta,"Kokusu, Boyut","""pozitif"""
Bence tam bir fiyat performans Ürünü aşırı kullanışlı ve fiyatı çok uygun fakat ilk geldiğinde çok kötü plastik kokuyordu günlerce havalandırdım çantayı öyle geçti,çanta,"Kalite, Kokusu","""pozitif"""
Çokkk güzelll. Derisi kaliteli duruşu çok güzel. Herhangi bir kötü koku falan yoktu. kargo hızlıydı,çanta,"Kalite, Kokusu","""pozitif"""
Mükemmel beğendim fiyat performans olarak çok iyi yavru çanta biraz kötü ama olsun,çanta,Kalite,"""pozitif"""
İlk başta çok kötü kokuyordu fakat balkonda birkaç gün havalandırdıktan sonra kokusu kalmadı. Ben çok beğendim,çanta,Kokusu,"""pozitif"""
Gayet güzel paketlenmiş. fiyatına göre iyi bir Ürün beklediğim kadar kötü gelmedi,çanta,Paketleme,"""pozitif"""
Mü kem mel🫶🏻 Bu fiyata bu çanta çok şık kötü yorum yapanları anlamadım yanındaki minik çantada gayet güzel 2 günde geldi teşekkürlerr💋,çanta,Kalite,"""pozitif"""
Güzel beğendim. kokusu kötü havalandırıp kullanacağım,çanta,Kokusu,"""pozitif"""
Ürün fiyatına göre çok uygun bazı mağaza ve esnaflara baktığımda pek yüksek kalite beklentim yoktu fakat kalitesi fiyatının çok üstünde büyük çantaları severek kullanıyorum siyah çok şık hem de günlük içinde ki yavru çantayı ben hijyenik Ürünler için kullanmayı düşünüyorum bazı yorumlarda kötü koktuğunu söylüyorlar evet yoğun yapıştırıcı kokusu var,çanta,"Kalite, Kokusu","""pozitif"""
Kız arkadaşıma aldım çok beğendi sadece gelince kötü kokusu vardı,çanta,Kokusu,"""pozitif"""
Tam üniversite için kullanılacak boyutta bir çanta. İçine rahatlıkla her şey sığıyor bayıldım. Tek kötü yanı fermuarsız olması ama böyle şık duruyor.,çanta,"Boyut, Fermuar","""pozitif"""
"Bayaa iyi , severek kullanacağım🥰 tek kötü tarafı ben aldıktan sonra indirime düştü😂😂😂 ama olsun değer",çanta,Kalite,"""pozitif"""
Tam 2 aydır kullanıyorum. Gayet sağlam boyutu vs çok ideal. İçinde göz olmaması biraz kötü ama kesinlikle alınır.,çanta,"Kalite, Boyut","""pozitif"""
Fiyatına göre çok güzel bir çanta. Kötü bir kokusu vardı ama balkonda bekletince geçti. İçerisine iPad rahatlıkla sığıyor boyutu gayet büyük. Yanında minik makyaj çantası gibi çantayla birlikte geliyor,çanta,"Kalite, Kokusu","""pozitif"""
Ürün çok kullanışlı ve güzel sadece ilk geldiğinde çok kötü kokuyor havalandırılması gerekiyor,çanta,Kokusu,"""negatif"" "
"Kötü kokusu dışında geniş, kullanışlı ve güzel",çanta,"Kokusu, Genel","""pozitif"""
Çok güzel bir çanta biraz daha büyük beklemiştim ama her türlü kullanışlı yalnız biraz kötü kokuya onu da havalandırınca gider diye düşünüyorum fiyatına değecek bir çanta,çanta,"Boyut, Kokusu","""pozitif"""
İlk geldiğinde kötü koku vardı fakat geçti içi gayet geniş okula giderken kullanıyorum,çanta,"Kokusu, Boyut","""pozitif"""
Çokoookkk beğendim ama geldiğinde kokusu kötüydü sadece açık alanda bıraktım gitti kokusu,çanta,Kokusu,"""pozitif"""
"Ürün görselde göründüğü gibi. Derisi yumuşacık, yalnızca çok kötü bir yapıştırıcı kokusu mevcut, zamanla azalacaktır. İçinden çıkan yavrusu makyaj çantası olarak kullanılabilir. Son olarak çok dayanıklı bir Ürün beklemeyin, max 1 kg civarı taşıyabilir.",çanta,"Deri, Kokusu","""negatif"" "
Biraz kötü kokuyor ama çok güzel,çanta,"Kokusu, Genel","""pozitif"""
Bir kısmın dikişi biraz kötüydü onun dışında çok güzel bir çanta,çanta,"Dikiş, Genel","""pozitif"""
"Çok güzel, Ürünün fermuarlı olmaması kötü sadece ama yine de güzel. Ben çok sevdim her şeyi koy çık kurtarıcı gayet.",çanta,"Fermuar, Genel","""pozitif"""
F/p ama kötü bir koku var kullandıkça geçer ya da içine kalıp sabun atın öyle koyun dolabınıza,çanta,Kokusu,"""negatif"" "
"Görseldeki gibi, kullanışlı fakat kötü kokusu olan bir Ürün",çanta,"Kokusu, Genel","""negatif"" "
Fiyatına göre güzel bir çanta sadece yanında gelen küçük çantanın kalitesi biraz kötü onun dışında çok beğendim a4 boyutundaki kitaplar sığıyor,çanta,"Kalite, Genel","""pozitif"""
Kokusu dışında kötü bir yanı yok kokusu da geçiyor zaten çok güzel bir çanta gayet büyük,çanta,"Kokusu, Genel","""pozitif"""
Güzel bir çanta ama fermuarsız olması kötü çünkü arabada biri elini atsa içinden istediğini alır. Ama kalitesi fiyatına göre çok iyi.,çanta,"Fermuar, Genel","""pozitif"""
Çok güzel çanta ilk geldiğinde kötü kokuyordu sonra kokusu gitti,çanta,Kokusu,"""pozitif"""
Çanta baya büyük sadece ilk geldiğinde baya kötü kokuyordu ben biraz daha pahalıya aldım bu biraz üzdü ama kullanışlı yani en çok da içindeki küçük çanta çok işe yarıyor,çanta,"Kokusu, Boyut","""pozitif"""
Ürünü çok beğendim ama içi kötü kokuyor,çanta,Kokusu,"""negatif"" "
Boyutu tam kıvamı Kötü olan tek şey fermuarı olmaması İstanbul'da yaşayan biri için sıkıntı olabilir,çanta,"Fermuar, Boyut","""pozitif"""
Gayet iyi ama kötü kokuyordu yeni olması sebebiyle muhtemelen 😊,çanta,Kokusu,"""pozitif"""
Çok güzel sadece o deri kokusu kötü,çanta,Kokusu,"""negatif"" "
Fiyat performans olarak güzel ama kötü kokuyor,çanta,Kokusu,"""negatif"" "
Çok beğendim sadece hafif kokusu vardı havalandırınca geçti,çanta,Kokusu,"""pozitif"""
efsaneeee çok güzel,çanta,Genel,"""pozitif"""
Yani bir çanta bu kadar kaliteli olamazdı çok ama çok güzel kesinlikle tavsiye ederim,çanta,Kalite,"""pozitif"""
Ben seyahatlerde kullanmak için almıştım tam istediğim büyüklükte içinden küçük olanı da çıktı gayet kaliteli ve güzel duruyor sap kısmı da omuzda taşımaya elverişli ben çok beğendim satıcı da çok hızlı kargolayıp gönderdi. sipariş verdiğimin ertesi günü elimde oldu. Kargo ambalajının içinde ayrıca poşetlenmişti. Kahverengisini de almayı düşünüyor,çanta,"Boyut, Kalite","""pozitif"""
İşten spora gideceğim zaman yanımda sportif bi çanta taşımak istemedim içinde bir çok şey sığıyor çok büyük durmasından korkuyordum oda olmadı ben çok beğendim gerçekten beklentim bu değildi ama çok iyimiş. Sadece ilk geldiğinde fazla plastik kokusu vardı 3 5 güne geçti çok kullanışlı teşekkür ederim 🤞🏻,çanta,"Boyut, Kokusu","""pozitif"""
Annem için hediye aldım çok beğendi,çanta,Genel,"""pozitif"""
Biraz kötü kokuyor ama o da zamanla geçer diye düşünüyorum yumuşaklığı ve boyutu çok güzel arkadaşımdan görüp almıştım çok ta memnunum,çanta,"Kokusu, Boyut","""pozitif"""
Bence tam bir fiyat performans Ürünü aşırı kullanışlı ve fiyatı çok uygun fakat ilk geldiğinde çok kötü plastik kokuyordu günlerce havalandırdım çantayı öyle geçti bu fiyata alın dolabınızda dursun seyahatlerde çok iyi oluyor,çanta,"Kalite, Kokusu","""pozitif"""
Çokkk güzelll. Derisi kaliteli duruşu çok güzel. Herhangi bir kötü koku falan yoktu. kargo hızlıydı,çanta,"Kalite, Kokusu","""pozitif"""
Mükemmel beğendim fiyat performans olarak çok iyi yavru çanta biraz kötü ama olsun,çanta,Kalite,"""pozitif"""
İlk başta çok kötü kokuyordu fakat balkonda birkaç gün havalandırdıktan sonra kokusu kalmadı. Ben çok beğendim,çanta,Kokusu,"""pozitif"""
Gayet güzel paketlenmiş. fiyatına göre iyi bir Ürün beklediğim kadar kötü gelmedi,çanta,Paketleme,"""pozitif"""
Mü kem mel🫶🏻 Bu fiyata bu çanta çok şık kötü yorum yapanları anlamadım yanındaki minik çantada gayet güzel 2 günde geldi teşekkürlerr💋,çanta,Kalite,"""pozitif"""
Güzel beğendim. kokusu kötü havalandırıp kullanacağım,çanta,Kokusu,"""pozitif"""
Ürün fiyatına göre çok uygun bazı mağaza ve esnaflara baktığımda pek yüksek kalite beklentim yoktu fakat kalitesi fiyatının çok üstünde büyük çantaları severek kullanıyorum siyah çok şık hem de günlük içinde ki yavru çantayı ben hijyenik Ürünler için kullanmayı düşünüyorum bazı yorumlarda kötü koktuğunu söylüyorlar evet yoğun yapıştırıcı kokusu var,çanta,"Kalite, Kokusu","""pozitif"""
Kız arkadaşıma aldım çok beğendi sadece gelince kötü kokusu vardı,çanta,Kokusu,"""pozitif"""
Tam üniversite için kullanılacak boyutta bir çanta. İçine rahatlıkla her şey sığıyor bayıldım. Tek kötü yanı fermuarsız olması ama böyle şık duruyor.,çanta,"Boyut, Fermuar","""pozitif"""
"Bayaa iyi , severek kullanacağım🥰 tek kötü tarafı ben aldıktan sonra indirime düştü😂😂😂 ama olsun değer",çanta,Kalite,"""pozitif"""
Tam 2 aydır kullanıyorum. Gayet sağlam boyutu vs çok ideal. İçinde göz olmaması biraz kötü ama kesinlikle alınır.,çanta,"Kalite, Boyut","""pozitif"""
Fiyatına göre çok güzel bir çanta. Kötü bir kokusu vardı ama balkonda bekletince geçti. İçerisine iPad rahatlıkla sığıyor boyutu gayet büyük. Yanında minik makyaj çantası gibi çantayla birlikte geliyor,çanta,"Kalite, Kokusu","""pozitif"""
Ürün çok kullanışlı ve güzel sadece ilk geldiğinde çok kötü kokuyor havalandırılması gerekiyor,çanta,Kokusu,"""negatif"" "
"Kötü kokusu dışında geniş, kullanışlı ve güzel",çanta,"Kokusu, Genel","""pozitif"""
Çok güzel bir çanta biraz daha büyük beklemiştim ama her türlü kullanışlı yalnız biraz kötü kokuya onu da havalandırınca gider diye düşünüyorum fiyatına değecek bir çanta,çanta,"Boyut, Kokusu","""pozitif"""
İlk geldiğinde kötü koku vardı fakat geçti içi gayet geniş okula giderken kullanıyorum,çanta,"Kokusu, Boyut","""pozitif"""
Çokoookkk beğendim ama geldiğinde kokusu kötüydü sadece açık alanda bıraktım gitti kokusu,çanta,Kokusu,"""pozitif"""
"Ürün görselde göründüğü gibi. Derisi yumuşacık, yalnızca çok kötü bir yapıştırıcı kokusu mevcut, zamanla azalacaktır. İçinden çıkan yavrusu makyaj çantası olarak kullanılabilir. Son olarak çok dayanıklı bir Ürün beklemeyin, max 1 kg civarı taşıyabilir.",çanta,"Deri, Kokusu","""negatif"" "
Biraz kötü kokuyor ama çok güzel,çanta,"Kokusu, Genel","""pozitif"""
Bir kısmın dikişi biraz kötüydü onun dışında çok güzel bir çanta,çanta,"Dikiş, Genel","""pozitif"""
"Çok güzel, Ürünün fermuarlı olmaması kötü sadece ama yine de güzel. Ben çok sevdim her şeyi koy çık kurtarıcı gayet.",çanta,"Fermuar, Genel","""pozitif"""
F/p ama kötü bir koku var kullandıkça geçer ya da içine kalıp sabun atın öyle koyun dolabınıza,çanta,Kokusu,"""negatif"" "
"Görseldeki gibi, kullanışlı fakat kötü kokusu olan bir Ürün",çanta,"Kokusu, Genel","""negatif"" "
Fiyatına göre güzel bir çanta sadece yanında gelen küçük çantanın kalitesi biraz kötü onun dışında çok beğendim a4 boyutundaki kitaplar sığıyor,çanta,"Kalite, Genel","""pozitif"""
Kokusu dışında kötü bir yanı yok kokusu da geçiyor zaten çok güzel bir çanta gayet büyük,çanta,"Kokusu, Genel","""pozitif"""
Güzel bir çanta ama fermuarsız olması kötü çünkü arabada biri elini atsa içinden istediğini alır. Ama kalitesi fiyatına göre çok iyi.,çanta,"Fermuar, Genel","""pozitif"""
Çok güzel çanta ilk geldiğinde kötü kokuyordu sonra kokusu gitti,çanta,Kokusu,"""pozitif"""
Çanta baya büyük sadece ilk geldiğinde baya kötü kokuyordu ben biraz daha pahalıya aldım bu biraz üzdü ama kullanışlı yani en çok da içindeki küçük çanta çok işe yarıyor,çanta,"Kokusu, Boyut","""pozitif"""
Ürünü çok beğendim ama içi kötü kokuyor,çanta,Kokusu,"""negatif"" "
Boyutu tam kıvamı Kötü olan tek şey fermuarı olmaması İstanbul'da yaşayan biri için sıkıntı olabilir,çanta,"Fermuar, Boyut","""pozitif"""
Gayet iyi ama kötü kokuyordu yeni olması sebebiyle muhtemelen 😊,çanta,Kokusu,"""pozitif"""
Çok güzel sadece o deri kokusu kötü,çanta,Kokusu,"""negatif"" "
Fiyat performans olarak güzel ama kötü kokuyor,çanta,Kokusu,"""negatif"" "
Çok güzel geldi,çanta,Genel,"""pozitif"""
Çantamı herkese aşık oldu nereden aldın diye soruyor trendyol'dan aldım dedim ve adresi verdim arkadaşlarım da aynı çantadan alacak çanta çok havalı duruyor ve büyük asil duruyor asilzade çanta istiyorsanız siz de alın ve farkını görün çok havalı bir çanta olay bir çanta olay herkes nereden aldın diye soruyor ve de çok sağlam haberiniz olsun dünyan,çanta,Genel,"""pozitif"""
çok güzel beğendim teşekkürler ederim,çanta,Genel,"""pozitif"""
"şahsi fikrimi söylüyorum,marka çantalara 100 basar,ben çok beğendim,paketleme çok güzel, ellerinize sağlık çok teşekkür ederim 🙏💖😍",çanta,"Kalite, Paketleme","""pozitif"""
teşekkür ederim,çanta,Genel,"""pozitif"""
İnanılmaz güzel ve kaliteli bir çanta alınmalı bence harika teşekkürler 🤩,çanta,Kalite,"""pozitif"""
Mü kem mel🫶🏻 Bu fiyata bu çanta çok şık kötü yorum yapanları anlamadım yanındaki minik çantada gayet güzel 2 günde geldi teşekkürlerr💋,çanta,Kalite,"""pozitif"""
Çok beğendim teşekkürler.,çanta,Genel,"""pozitif"""
Ürünün kalitesi de fiyatı da çok iyi gerçekten. Hızlı kargolama için teşekkür ederim,çanta,"Kalite, Kargo","""pozitif"""
Çok güzel geldi çok teşekkür ederim,çanta,Genel,"""pozitif"""
cok begendim cok tesekkurler,çanta,Genel,"""pozitif"""
Öğrenci olduğum için tercih ettim ve rahatlıkla bir kitap sığıyor o yüzden elim ayağım oldu teşekkürler,çanta,Boyut,"""pozitif"""
Bayıldım çok kullanışlı bi çanta sorunsuz geldi teşekkürler:)),çanta,Kullanışlılık,"""pozitif"""
sağlam geldi teşekkür ederim,çanta,Genel,"""pozitif"""
Çanta tam bir anne çantası içi çok geniş beklentimi karşıladı teşekkürler🙏🏻,çanta,Boyut,"""pozitif"""
"Gayet güzel ve hızlı geldi,teşekkür ediyorum.",çanta,Genel,"""pozitif"""
tahmin ettiğinden çok güzel teşekkürler,çanta,Genel,"""pozitif"""
Çok beğendim gözüktüğü gibi geldi tavsiye ediyorum teşekkür ederim kargo kusursuzdu,çanta,"Genel, Kargo","""pozitif"""
Ürün elime çok güzel bir şekilde ulaştı teşekkürler 😊,çanta,"Paketleme, Genel","""pozitif"""
teşekkürler beğendim,çanta,Genel,"""pozitif"""
"çok güzel geldi, teşekkür ederim",çanta,Genel,"""pozitif"""
Tam olarak anlatıldığı gibi çok hafif diğer rengini de alıcam hızlı kargo teşekkürler,çanta,"Hafiflik, Kargo","""pozitif"""
Teşekkürler iyi geldi,çanta,Genel,"""pozitif"""
Tam olarak fiyat performans Ürünü bayıldım deri kokusu var ilk açıldığında ama o kadar da olsun. Harika teşekkür ederim 🙏🏼,çanta,"Kalite, Kokusu","""pozitif"""
Göründüğü gibi geldi kargo hızlıydı tavsiye ederim kaliteli Ürün satıcıya teşekkür ediyorum,çanta,"Kalite, Kargo","""pozitif"""
Kargolama paketleme Ürün taaam istediğim gibiydi teşekkürler.Görseldekiyle birebir.,çanta,"Paketleme, Görsel","""pozitif"""
"her ne kadar deri kokusu gelsede havalandırdığınızda geçiyor kokusu. boyutu çok iyi kol askısı çok iyi derisi yumuşak ve çok şık , spor kombinleyince de güzel bir Ürün teşekkür ediyorum",çanta,"Kokusu, Boyut, Kalite","""pozitif"""
"Ürünü beğendim. Kullanışlı olacağını düşünüyorum. Gayet sağlam, laptop taşıyabilecek sağlamlıkta fakat içine 15.6 inch laptop sığmıyor altı dar olduğu için. Maslak bölgesine siparişten 24 saat sonra teslim edildi. Teşekkürler",çanta,"Kullanışlılık, Boyut","""pozitif"""
Sorunsuz elimize ulaştı.Ürün gayet şık görünüyor. Teşekkürler,çanta,Genel,"""pozitif"""
Aşırı güzel ve kaliteli göründüğü gibi geldi teşekkür ederim elime biraz geç ulaştı ama olsun🙃,çanta,"Kalite, Kargo","""pozitif"""
kaliteli güzel Ürün teşekkürler.,çanta,Kalite,"""pozitif"""
teşekkürler çok güzel beğendim,çanta,Genel,"""pozitif"""
ilk geldiğinde bi deri kokusu vardı ama gün geçmeden havalandırdığımda geçti koku ben beğenerek kullanıyorum üniversite öğrencisi olarak gerçekden şık bi görünümü var günlük kullanıma çok uygun teşekkürler 🩷,çanta,"Kokusu, Genel","""pozitif"""
Beğendim teşekkürler,çanta,Genel,"""pozitif"""
Ürün gayet kaliteli ve hızlı geldi. kullandıkça yanları daha estetik bir görüntü alacaktır. gayet geniş ve sorunsuz. teşekkür ediyorum,çanta,"Kalite, Boyut","""pozitif"""
Çok güzel bir çanta yek sorunu inanılmaz plastik kokuyor ama onu da gözarde edebilirim çünkü 250 tl ye ne kaldı ki bu devirde satıcıya teşekkür ederim,çanta,"Kokusu, Genel","""pozitif"""
Çanta aşırı hoşuma gitti biraz büyük gibi duruyo ama evden çıkarken içine herşeyini at çık. İçindeki küçük çantada çok güzel. Teşekkür ederimm🙏🏻❤️,çanta,"Boyut, Kullanışlılık","""pozitif"""
Ürünü rahatlıkla alabilirsiniz kullanışlı tek sorun fermuar olmaması o yüzden dikkatli olmak gerek özel eşya vs düşebilme ihtimali var Ürünün kalitesi güzel fiyat performans Ürünü diyebilirim satıcıya teşekkür ederim :),çanta,"Fermuar, Kalite","""pozitif"""
Ürünün acil elimde olmasını istediğimi belirttim ertesi gün hemen kargoya verildi. Çok ilgililerde teşekkür ederim. Çanta da beklediğim gibi geldi gayet güzel bir çanta.,çanta,"Kargo, Genel","""pozitif"""
"Hızlı kargo için teşekkürler, fiyatına göre kaliteli güzel bir çanta kullanışlı içi geniş tek göz, hem spor hem şık 👍",çanta,"Kargo, Kalite, Boyut","""pozitif"""
kirilmadan gelmiş çok güzel teşekkürler,çanta,Genel,"""pozitif"""
Ürün güzel kullanışlı beklenilen gibi teşekkürler,çanta,Kullanışlılık,"""pozitif"""
çanta çok şık ve kaliteli hediye için teşekkürler:)),çanta,Kalite,"""pozitif"""
Çok güzel teşekkürler,çanta,Genel,"""pozitif"""
hızlı geldi teşekkür ederim,çanta,Kargo,"""pozitif"""
İyi ki almışım ya çok kaliteli çok güzel evet plastik kokuyo ama napalım zamanla geçer. sürekli bez çanta kullanmaktan yorulmuştum.. Hem de çok sağlam eğilip bükülmüyor. Harbiden harika diğer renklerini de mutlaka alırım ce içine yavru çantasını koymuşlardı teşekkürler,çanta,"Kalite, Kokusu","""pozitif"""
çanta tam bir fiyat performans Ürünü ve göründüğü gibi geliyor hiçbir sıkıntısı yoktu gayet kaliteli teşekkürler,çanta,"Kalite, Genel","""pozitif"""
teşekkür ederim,çanta,Genel,"""pozitif"""
Çantayı çok beğendim oldukça büyük ve şık. Teşekkürler.,çanta,"Boyut, Genel","""pozitif"""
teşekkürler,çanta,Genel,"""pozitif"""
Çok güzel çok teşekkür ederim,çanta,Genel,"""pozitif"""
sorunsuz geldi teşekkürler,çanta,Genel,"""pozitif"""
Hızlıca elime ulaştı iç derinliği fazlasıyla yeterli. küçük çantası için teşekkürler. Fiyatından çok ötede muhteşem bi çanta keşke kremrengisi de olsaydı 💥,çanta,"Kargo, Boyut","""pozitif"""
tam istediğim gibi çok güzel satıcıya teşekkür ederim,çanta,Genel,"""pozitif"""
"""Film bence tam bir hayal kırıklığı olmuş, ben daha güzel bir şey beklemiştim ama umduğumun epey bir altında çıktı film...""",Dünyalar Savaşı,Film,"""negatif"" "
"""Bende Ürünü Hepsiburada'dan aldım, Intespor yetkili servisi gelip ücretsiz kurulum yaptı...""",Hepsiburada,Şirket,"""pozitif"""
"""Bende Ürünü Hepsiburada'dan aldım, Intespor yetkili servisi gelip ücretsiz kurulum yaptı...""",Intespor,Şirket,"""pozitif"""
"""Plastik filmler telefonun mükemmel ekran görüntüsünü matlaştırıyor, ayrıca çok parmak izi kalıyor...""",Plastik filmler,Ürün,"""negatif"" "
"""Plastik filmler telefonun mükemmel ekran görüntüsünü matlaştırıyor, ayrıca çok parmak izi kalıyor...""",Cam filmler,Ürün,"""pozitif"""
"""Program özelliğine bağlı olarak görüntülü ve sesli görüşme olanağı da olabilir.""",Görüntülü görüşme,Özellik,"""nötr"""
"""Philips kalite olarak beni hiç hayal kırıklığına uğratmadı, ütü de bunu kanıtladı...""",Philips,Şirket,"""pozitif"""
"""Philips kalite olarak beni hiç hayal kırıklığına uğratmadı, ütü de bunu kanıtladı...""",Ütü,Ürün,"""pozitif"""
"""Telefon gerçekten çok iyi, kargosu da 2 gün içerisinde geldi...""",Telefon,Ürün,"""pozitif"""
"""Telefon gerçekten çok iyi, kargosu da 2 gün içerisinde geldi...""",Kargo,Hizmet,"""pozitif"""
"""Joffrey Baratheon rolünü kazandı.""",Joffrey Baratheon,Karakter,"""nötr"""
"""Filmde Leon adıyla oynamıştır.""",Leon,Karakter,"""nötr"""
"""New Yorklu bir yazarın L.A.'ye gelmesini olabilecek en absürt ve en saçma şekilde anlatan...""",Coen dünyası,Film,"""negatif"" "
"""Arkadaşlar, yorumlara güvenip filme gitmeyin. Ben şahsen hiç beğenmedim, son derece anlamsız...""",Film,Film,"""negatif"" "
"""Boşuna fazla para vermeye gerek yok.""",Ürün,Ürün,"""negatif"" "
"""Berbattt... Ben böyle berbat bir otel görmedim...""",Otel,Hizmet,"""negatif"" "
"""Filmi sakın olaki sakın Türkçe dublaj izlemeyin...""",Türkçe dublaj,Dil,"""negatif"" "
"""Filmi sakın olaki sakın Türkçe dublaj izlemeyin...""",Joker,Karakter,"""pozitif"""
"""Oyuncuların iç değişimleri siyah beyaz sahnelerde daha belirgin bir şekilde ortaya çıkıyordu.""",Oyuncular,Karakter,"""nötr"""
"""Şehrin içinden nehre bağlı birçok küçük kanal geçmektedir.""",Kanal,Yer,"""nötr"""
"""Afganistan eski devlet başkanıdır.""",Afganistan,Yer,"""nötr"""
"""Ürün sessiz ve kullanışlı. Biraz güç sarf etmeniz lazım, halıya baya yapışıyor...""",Ürün,Ürün,"""pozitif"""
"""Azerbaycan Cumhuriyeti Onurlu Sanat Çalışanı unvanını taşıyordu.""",Azerbaycan,Yer,"""nötr"""
"""Ürün beklediğim gibi. Yalnız 4K videoları televizyonda izleyip alıyorsanız, kanallardaki görüntü sizi tatmin etmiyor...""",TRT 4K,Yayın,"""nötr"""
"""Ürün beklediğim gibi. Yalnız 4K videoları televizyonda izleyip alıyorsanız, kanallardaki görüntü sizi tatmin etmiyor...""",Televizyon,Ürün,"""pozitif"""
"""Eşimin yıllardır severek kullandığı son derece fresh bir parfüm...""",Parfüm,Ürün,"""pozitif"""
"""Fare iyi, kullanışlı. Güzel, hoşuma gitti. Fiyatı da uygun.""",Fare,Ürün,"""pozitif"""
"""Ev sahibi takımın formasıyla benzerlik taşımaz.""",Forma,Ürün,"""nötr"""
"""Hoşgörüsüzdü, ayrıca otel tanıtımında yazan hoşgeldiniz ikram paketi diye bir şey yok...""",Otel,Hizmet,"""negatif"" "
"""Fiyatı ve şık tasarımı ile tercih sebebi olacak bir Ürün.""",Ürün,Ürün,"""pozitif"""
"""Gayet güzel. Teşekkürler, Hepsiburada...""",Hepsiburada,Şirket,"""pozitif"""
"""Bu kadar büyük bir aşkı, az bir sayfaya sığdırmak, çok şey anlatmak, insanı bu aşkın etkisi altına almak...""",Kitap,Ürün,"""pozitif"""
"""Corona sürecinde hayret ettiğim bir durum var: Bilim insanları virüsün yayılma hızıyla hiç ilgilenmediler.""",Corona süreci,Dönem,"""negatif"" "
"""Beraat etti.""",Beraat,Hukuk,"""nötr"""
"""Rusya bir yıl aradan sonra geri dönmüştür.""",Rusya,Yer,"""nötr"""
"""Sayıları hücrenin enerji ihtiyacına göre değişir.""",Hücre,Biyoloji,"""nötr"""
"""Ürün titriyor sanıyordum ancak vücuda düşük voltta elektrik veriyormuş...""",Ürün,Ürün,"""pozitif"""
"""Robert Kolej mezunudur.""",Robert Kolej,Yer,"""nötr"""
"""Alacak olanlara önerebileceğim bir Ürün. oğlumuz 8 aylık ve ilk bindiğinde çok heyecanlandı...""",Ürün,Ürün,"""pozitif"""
"""İnsana sinema budur işte dedirten bir yapım.""",Sinema,Kültür,"""pozitif"""
öncelikle şunu söyleyeyim bileğimde lekeler yaptı küçük küçük o yüzden direk çöpe attim ayrica üzeri de lekeliydi ve asla kaliteli değildi yurtdışına gonderdiginiz için defolu Ürün mü gönderdiniz yoksa Ürünlerinizin hepsi mi kalitesiz anlamadım..,bileklik,Kalite,"""negatif"" "
Ürünün çelik olduğunu düşünmüyorum ne zaman taksam buram buram demir kokuyor,Ürün,"Kalite, Kokusu","""negatif"" "
"hayatımda böyle bi kötü bileklik görmedim, hiç rahat değil etini araya alıp kesiyor, aldığıma çok pişmanım, yorumlardaki gibi değilmiş,gerçek yorum yapmayanlara yazıklar olsun",bileklik,"Rahatlık, Kalite","""negatif"" "
Daha bir ay olmadan çeliğin rengi soldu ve bileğimde çok fazla kaşıntı yaptı. Normalde çelik alerji yapmaz ama büyük büyük yaralar çıktı. Hem renginin aşırı solmasindan hem de alerjik reaksiyona sebep olmasından dolayı çelik olduğunu düşünmüyorum.,bileklik,"Renk, Kalite, Alerji","""negatif"" "
Elime yeni geçti ve bariz deformeler vardı. İki tane aldım ben biri düzgün geldi ama digerinde göçmeler var.,bileklik,"Kalite, Deformasyon","""negatif"" "
Benimkinin üzerinde nomin. Yazmıyor yazıyor sanıp almıştım :( bir de rengi koyu ve mat parlak değil kullanılmış gibi duruyor,bileklik,"Yazı, Renk","""negatif"" "
Rengi koyu gri soluk duruyor fotoğrafla alakası yok kalitesiz duruyor iade edicem,bileklik,"Renk, Kalite","""negatif"" "
Ürün elime 10 gün sonra geldi ve çok kalitesizdi fotoğraftaki gibi değil,bileklik,"Kargo, Kalite","""negatif"" "
